Theta_calculated,yaw_world,linear_velocity_x,world_velocity_x,world_velocity_y,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,delta_position_x_world,delta_position_y_world,delta_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw,twist.twist.linear.x,Time
-1.4819911591443822e-06,-2.842199747809549e-05,0.0001415951119098,0.0001415951119096,-2.0984270402832215e-10,-9.591101900416652e-05,0.0042590929350251,-0.0030287555169138,3.666870495553504e-06,5.8795123367334095e-06,-1.593256222694663e-05,4.7151172265876e-06,-8.180128992662693e-12,-3.193836932838745e-06,0.0002237216557382,0.616
-4.675828091983129e-06,-2.446040175647888e-05,5.388125612060363e-05,5.3881256120014616e-05,-2.519394909991383e-10,-0.0003672238966111,-0.0026340497233996,-0.0081475338620715,-4.3087721750788295e-08,2.484739322405795e-07,3.961595721616613e-06,1.7942458287248727e-06,-1.694855960984078e-11,-1.222855575715125e-05,4.640555512916874e-07,0.65
-1.690438384913438e-05,-1.5193681457419262e-05,-2.89758995131984e-06,-2.897589950905834e-06,4.898197277217233e-11,8.289495321931309e-05,-0.0017050704526103,0.0135170825774913,-9.497051516992733e-08,6.005417870816807e-07,9.266720299059616e-06,-9.64897453692191e-08,1.368238976731936e-12,2.760401942203126e-06,-2.559173401886397e-06,0.684
-1.4143981906931257e-05,-4.608030502133604e-06,-2.1427627644549533e-06,-2.142762764240621e-06,3.0307197770286355e-11,0.0002249014800077,2.266748308903561e-05,0.0042644602639159,-1.0821925824824193e-07,6.883354056436318e-07,1.0585650955285658e-05,-7.135400005325773e-08,6.461335911062428e-13,7.489219284256871e-06,-3.1245878077985505e-06,0.7180000000000001
-6.654762622674383e-06,6.315392177116348e-06,-9.723565913738784e-07,-9.723565913523477e-07,6.470802300138193e-12,0.0002540237131214,3.51473325249572e-05,0.0008745415349471,-1.1159602051648289e-07,7.108479404323501e-07,1.0923422679249954e-05,-3.2379474492634694e-08,3.5009716329088285e-14,8.45898964694438e-06,-3.26624941810286e-06,0.752
1.8042270242699973e-06,1.7328578968631352e-05,-2.5802616186934495e-07,-2.58026161868925e-07,-4.655377742130843e-13,0.0002634039308721,2.145136424938539e-05,0.000281688220741,-1.125007513700857e-07,7.168268017680359e-07,1.1013186791515004e-05,-8.592271189977793e-09,-6.473373939636664e-14,8.77135089804187e-06,-3.305411898762707e-06,0.786
1.0575577922311863e-05,2.836588526520343e-05,3.729789377837808e-07,3.729789377629233e-07,3.944467819839956e-12,0.0002729730345709,1.894910209168545e-05,0.0002873604714359,-1.1275071505351818e-07,7.184293663937312e-07,1.1037306296572078e-05,1.2420198626473684e-08,2.0449380047983805e-13,9.0900020512125e-06,-3.305411898762707e-06,0.8200000000000001
1.9665579973524368e-05,3.9409932689136666e-05,9.827382473828768e-07,9.82738247192847e-07,1.9326117595703457e-11,0.0002631806733348,1.8311090378351228e-05,-0.0002940649019847,-1.128273380756814e-07,7.188733604636344e-07,1.1044047423933236e-05,3.2725183627195583e-08,8.309440303080288e-13,8.763916422050625e-06,-3.3195714096968467e-06,0.8540000000000001
2.842949639557499e-05,5.045612038582287e-05,1.649281960630609e-06,1.6492819599641045e-06,4.6888255548718615e-11,0.0002592936535725,2.0016327725157124e-05,-0.0001167273201901,-1.1285806741228978e-07,7.190106128913448e-07,1.1046187696686206e-05,5.4921089256914574e-08,1.872302661039315e-12,8.634478663965002e-06,-3.320572821239388e-06,0.888
4.575244319384063e-05,6.150323007899089e-05,3.342964389094572e-06,3.342964385595681e-06,1.5294878825772058e-10,0.0002448051704956,2.5354513911477987e-05,-0.0004837774322024,-1.1287664459548768e-07,7.190666283365619e-07,1.104710969316802e-05,1.1132071401078748e-07,5.696556484171761e-12,8.152012177505617e-06,-3.321017821602152e-06,0.922
