Time,delta_position_x,delta_position_y,delta_yaw
0.098,0.0,0.0,0.0
0.132,-1.8190477889812318e-05,1.6943941805180884e-09,-8.782099379694265e-07
0.166,1.1805246868945574e-07,-2.4622620609093815e-10,4.7631011668488386e-08
0.2,-3.2512576209065003e-07,-5.763205579434327e-09,2.3586304188866273e-08
0.234,-6.019595146788959e-07,-5.971826366746313e-10,9.956700560653148e-08
0.268,-9.429515351877527e-07,-3.825568750670527e-10,1.029041214293589e-07
0.30200000000000005,5.140933867497921e-08,3.7223823456944416e-07,-2.4274219462307958e-06
0.336,1.1680569578231825e-07,5.845565587137003e-09,-1.3241226228327088e-06
0.37,-3.346136145943035e-09,1.5499543093433488e-08,2.4697197250731927e-07
0.404,-3.1879767159459504e-09,1.8709651827819584e-08,2.955264873680498e-07
0.438,-3.2905211333478235e-09,1.9374305493258248e-08,3.055770106627261e-07
0.47200000000000003,-3.3051937853301183e-09,1.9469512446690374e-08,3.070167328547426e-07
0.506,-3.307316587264353e-09,1.9483467283976097e-08,3.0722777602681893e-07
0.54,-3.3076418270994168e-09,1.948555528041851e-08,3.072593758926073e-07
0.5740000000000001,-3.3077027783434687e-09,1.9485908886451853e-08,3.0726474763803575e-07
0.608,-3.3077250938262637e-09,1.9486008695501766e-08,3.072662880832e-07
0.642,-3.3077419137050867e-09,1.9486071312080355e-08,3.072672653616456e-07
0.676,-3.307757567849734e-09,1.948612704527619e-08,3.0726813750593616e-07
0.7100000000000001,-3.3077729999497762e-09,1.94861815572267e-08,3.07268992471396e-07
0.744,-3.3077887096055747e-09,1.9486235292021092e-08,3.07269842302675e-07
0.778,-3.307803919661012e-09,1.9486288471703972e-08,3.0727068238948736e-07
0.812,-3.307819296249903e-09,1.9486341318319944e-08,3.0727151707905784e-07
0.8460000000000001,-3.307834617327643e-09,1.94863934988021e-08,3.072723438694033e-07
0.88,-3.307849771871929e-09,1.948644534621735e-08,3.072731635788354e-07
0.914,-3.3078650374385177e-09,1.9486496305454182e-08,3.0727397353401296e-07
0.9480000000000001,-3.3078800809605013e-09,1.948654715366871e-08,3.072747828282591e-07
0.9820000000000001,-3.3078950689713338e-09,1.948659722472712e-08,3.072755834217092e-07
1.016,-3.3079099459598638e-09,1.948664674067402e-08,3.072763716630644e-07
1.05,-3.307924878459545e-09,1.9486696256620917e-08,3.0727715993650107e-07
1.084,-3.307939810959226e-09,1.9486745772567815e-08,3.0727794585295195e-07
1.118,-3.307954687947756e-09,1.9486793956247084e-08,3.0727873552832923e-07
1.152,-3.3079696204474374e-09,1.9486843472193982e-08,3.0727952070864713e-07
1.186,-3.3079842753913624e-09,1.948689209996246e-08,3.072802719615625e-07
1.22,-3.307998819312985e-09,1.948694028364173e-08,3.0728104512375804e-07
1.254,-3.308013696301515e-09,1.9486987912209486e-08,3.0728181447423924e-07
1.288,-3.308028295734289e-09,1.9487035540777242e-08,3.0728257927289037e-07
1.322,-3.308043006189365e-09,1.9487083058322696e-08,3.0728334006995023e-07
1.356,-3.3080577721555926e-09,1.9487130464845848e-08,3.072841024290313e-07
1.3900000000000001,-3.308072316077215e-09,1.9487177538302092e-08,3.072848596691635e-07
1.424,-3.308086915509989e-09,1.9487224611758336e-08,3.072856168875278e-07
1.458,-3.308101570453914e-09,1.948727124112537e-08,3.0728636903826853e-07
1.492,-3.308116225397839e-09,1.948731809253701e-08,3.0728712249559144e-07
1.526,-3.3081307138083105e-09,1.948736461088174e-08,3.0728787141113555e-07
1.56,-3.308145257729933e-09,1.948741101820417e-08,3.0728861888374633e-07
1.594,-3.3081598016515557e-09,1.9487457203481995e-08,3.072893642124303e-07
1.6280000000000001,-3.3081744010843295e-09,1.9487503499782122e-08,3.0729011012232206e-07
1.662,-3.308188722961347e-09,1.948754946301534e-08,3.072908525532827e-07
1.6960000000000002,-3.3082032668829697e-09,1.9487595315226258e-08,3.072915912487144e-07
1.73,-3.30821769978229e-09,1.9487641278459478e-08,3.0729233411476443e-07
1.764,-3.3082322992150637e-09,1.9487687130670395e-08,3.072930747487285e-07
1.798,-3.308246732114384e-09,1.9487732760836707e-08,3.072938106647547e-07
1.832,-3.3082611095025527e-09,1.948777839100302e-08,3.0729454844943036e-07
1.866,-3.308275597913024e-09,1.948782402116933e-08,3.0729528806426636e-07
1.9,-3.308289975301193e-09,1.9487869429291038e-08,3.072960217732296e-07
1.9340000000000002,-3.308304408200513e-09,1.9487914837412745e-08,3.072967547087077e-07
1.968,-3.3083188966109844e-09,1.9487960245534452e-08,3.07297487988664e-07
2.002,-3.308333218488002e-09,1.948800565365616e-08,3.072982212141746e-07
2.036,-3.308347595876171e-09,1.948805072871096e-08,3.0729895250056435e-07
2.07,-3.30836197326434e-09,1.9488096025810364e-08,3.0729968081902004e-07
2.104,-3.30837640616366e-09,1.948814098984286e-08,3.0730041496531816e-07
2.138,-3.308390783551829e-09,1.948818639796457e-08,3.073011442273262e-07
2.172,-3.308405216451149e-09,1.948823113995246e-08,3.073018688243579e-07
2.206,-3.308419593839318e-09,1.948827610398496e-08,3.073025997804573e-07
2.24,-3.308433804694033e-09,1.9488321068017456e-08,3.073033297824705e-07
2.274,-3.308448404126807e-09,1.9488366254094558e-08,3.0730405828589793e-07
2.308,-3.308462614981522e-09,1.948841099608245e-08,3.073047837840371e-07
2.342,-3.308476992369691e-09,1.9488455849092645e-08,3.07305513263326e-07
2.376,-3.308491425269011e-09,1.9488500924147445e-08,3.073062387836829e-07
2.41,-3.3085056916348776e-09,1.9488545666135337e-08,3.0730696834350434e-07
2.444,-3.3085200690230465e-09,1.9488590630167835e-08,3.0730769385089315e-07
2.478,-3.308534390900064e-09,1.9488635261133425e-08,3.073084145714345e-07
2.512,-3.308548712777082e-09,1.9488679892099015e-08,3.073091448302005e-07
2.5460000000000003,-3.308563201187553e-09,1.9488725078176117e-08,3.073098723459416e-07
2.58,-3.3085774120422684e-09,1.9488769598119404e-08,3.073105967556571e-07
2.614,-3.3085919004527398e-09,1.9488814340107297e-08,3.0731132196611677e-07
2.648,-3.308606111307455e-09,1.9488859304139794e-08,3.073120463213104e-07
2.682,-3.308620488695624e-09,1.948890382408308e-08,3.073127712963492e-07
2.716,-3.3086348105726415e-09,1.948894845504867e-08,3.0731349433721873e-07
2.75,-3.3086491879608104e-09,1.948899308601426e-08,3.0731421966103856e-07
2.784,-3.3086633988155256e-09,1.9489037828002154e-08,3.073149438350416e-07
2.818,-3.3086777762036945e-09,1.948908234794544e-08,3.0731566717140705e-07
2.8520000000000003,-3.3086922091030146e-09,1.948912697891103e-08,3.0731639125027824e-07
2.886,-3.30870641995773e-09,1.948917160987662e-08,3.0731711319669305e-07
2.92,-3.3087207973458987e-09,1.948921624084221e-08,3.0731783606093593e-07
2.954,-3.308735008200614e-09,1.94892607607855e-08,3.073185592434836e-07
2.988,-3.3087494966110853e-09,1.9489305391751088e-08,3.073192836642443e-07
3.022,-3.308763596443498e-09,1.9489349911694376e-08,3.073200046758194e-07
3.056,-3.3087780848539694e-09,1.9489394653682268e-08,3.0732073144279026e-07
3.09,-3.308792406730987e-09,1.948943939567016e-08,3.073214549293854e-07
3.124,-3.3088067286080047e-09,1.9489483693568843e-08,3.0732217731795487e-07
3.158,-3.308820994973871e-09,1.948952821351213e-08,3.073228968382811e-07
3.192,-3.30883537236204e-09,1.948957284447772e-08,3.073236202079281e-07
3.226,-3.3088495832167553e-09,1.9489617253398706e-08,3.073243438735454e-07
3.26,-3.3088640161160754e-09,1.9489661995386598e-08,3.0732506668814194e-07
3.294,-3.308878282481942e-09,1.9489706404307583e-08,3.0732579153963926e-07
3.328,-3.308892715381262e-09,1.9489751035273173e-08,3.0732651364277555e-07
