Time,linear_velocity_x,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw
0.372,2.5517361208303614e-05,-3.0035579423119246e-05,0.0008489277295895786,0.0023622954600950948,8.49728128236369e-07,-4.2491765098620864e-13,-1.000184794789871e-06
0.40900000000000003,3.2887666982747786e-06,-2.0180813199943795e-05,-0.0006675253606615264,0.0002959389256208844,1.0951593105245029e-07,-1.463341792659531e-13,-6.720210795581284e-07
0.442,-2.3199967015450496e-06,-9.089152178209398e-06,-0.00016843133332792275,0.0003330829135655975,-7.725589016132146e-08,1.4092650505807824e-13,-3.02668767534373e-07
0.47500000000000003,-2.326828278153196e-07,4.946539658277012e-06,6.26820983102021e-05,0.00042149224734193413,-7.748338166236255e-09,1.4669820736864823e-14,1.647197706206245e-07
0.51,0.00014159511191194144,-9.591101907539416e-05,0.00425909293512783,-0.0030287555175276624,4.715117226638278e-06,-1.606490267098419e-11,-3.193836935210626e-06
0.541,5.3881256118027036e-05,-0.00036722389659999983,-0.0026340497235409726,-0.008147533859597766,1.7942458286082225e-06,-1.9948905090995455e-11,-1.2228555756779995e-05
0.5750000000000001,-2.8975899543918897e-06,8.289495324656512e-05,-0.0017050704526251927,0.013517082577974923,-9.648974546909554e-08,1.5295901836765427e-12,2.760401943110619e-06
0.609,-2.1427627657928127e-06,0.00022490148003558567,2.2667483141113425e-05,0.004264460263934551,-7.13540000966282e-08,7.654534300692938e-13,7.489219285185004e-06
0.641,-9.7235659142341e-07,0.00025402371309977474,3.5147332563645724e-05,0.000874541533459131,-3.237947449418028e-08,8.915470047661498e-14,8.4589896462225e-06
0.676,-2.5802615790540656e-07,0.0002634039308114304,2.145136436991001e-05,0.0002816882195692383,-8.59227105807488e-09,-5.03657070210272e-14,8.771350896020632e-06
0.7100000000000001,3.7297893649550686e-07,0.0002729730344879503,1.894910193396136e-05,0.00028736047076636373,1.2420198583898754e-08,1.837247655556753e-13,9.090002048448746e-06
0.743,9.827382469369056e-07,0.0002631806732202702,1.8311090403645607e-05,-0.0002940649029333366,3.272518361368849e-08,7.762208516052267e-13,8.763916418234998e-06
0.774,1.649281961968495e-06,0.000259293653544651,2.001632777872641e-05,-0.00011672731758616068,5.492108930452024e-08,1.780463704716323e-12,8.63447866303688e-06
0.807,2.498659075842341e-06,0.0002609149590313625,2.5506820236451828e-05,4.868785245379856e-05,8.320534715508081e-08,3.4180777760892364e-12,8.688468135744373e-06
0.8430000000000001,3.342964391274774e-06,0.0002448051705675114,2.535451397694993e-05,-0.0004837774313468802,1.1132071409275832e-07,5.5104079461495285e-12,8.152012179898131e-06
0.874,4.429967612459452e-06,0.00023374717938941434,3.2642739374915246e-05,-0.00033207180715006193,1.4751792125093162e-07,8.477586560170296e-12,7.783781073667499e-06
0.909,5.933119373400899e-06,0.0002259786757355291,4.513969252076418e-05,-0.00023328839801457167,1.9757287471483504e-07,1.2866465741906855e-11,7.52508990199312e-06
0.9430000000000001,7.333812604472968e-06,0.000201529600825394,4.2062859791954035e-05,-0.0007342064537578107,2.442159590912459e-07,1.7642313876662603e-11,6.710935707485621e-06
0.9750000000000001,9.113240879639617e-06,0.0001808971949731981,5.343628453953898e-05,-0.0006195917673332102,3.0347092035393293e-07,2.3855247510888297e-11,6.023876592607498e-06
0.9950000000000001,-0.00015361125875952697,0.002225355308231025,-0.004886621610785782,0.06139513853627108,-5.115254879502562e-06,-6.07038249058581e-10,7.410433176409313e-05
1.042,1.0700560576031506e-05,0.0001637296543487045,0.00493428886893569,-0.06191068029676637,3.5632866270831905e-07,5.6460424815885556e-11,5.4521974898118605e-06
1.075,8.886873661887375e-06,0.00018748479115951566,-5.446507249682074e-05,0.000713367471796131,2.959328889461802e-07,4.8621216621559765e-11,6.2432435456118726e-06
1.11,7.450438996148637e-06,0.00021549188916266884,-4.313617614831046e-05,0.0008410539940886839,2.4809961494355106e-07,4.24269455449023e-11,7.175879909116873e-06
1.138,5.819953939126143e-06,0.0002276628161314191,-4.896351522590072e-05,0.00036549330236487244,1.938044630888478e-07,3.457204531098467e-11,7.5811717771762565e-06
1.176,4.679069576252278e-06,0.00024268697936554083,-3.426079167789383e-05,0.00045117607309674867,1.5581301418721495e-07,2.9015114213197254e-11,8.08147641287251e-06
1.209,3.864345428761241e-06,0.00026271372301154243,-2.4466190615346464e-05,0.0006014037130931412,1.286827003399732e-07,2.5045832703120324e-11,8.748366976284364e-06
1.242,3.015334147238763e-06,0.0002648048947592909,-2.5495834279954286e-05,6.279795038283703e-05,1.0041062502533392e-07,2.042509077288794e-11,8.818002995484389e-06
